Sexologist,pain in the testicles
Sexologist,testicles
Sexologist,vaginal odour
Sexologist,decrease in stiffness
Orthopedic,hip bone
Orthopedic,difficulty in climbing stairs
Orthopedic,difficulty in getting up from the chair
Orthopedic,difficulty running
Orthopedic,difficulty walking
Orthopedic,joint pain
Orthopedic,joint instability
Orthopedic,unable to lift heavy
Orthopedic,unable to bear load
Orthopedic,weakness
Orthopedic,unable to move
Orthopedic,ankle pain
Orthopedic,knee pain
Orthopedic,pain in the ankle
Orthopedic,pain in the knee
Orthopedic,pain in the knees
Orthopedic,anaphylaxis
Orthopedic,swelling in bone
,pain in leg
,pain in shoulder
Rheumatologist,rotator cuff injury
Rheumatologist,swelling in shoulder
Orthopedic,difficulty picking up objects
,bleeding elbow
Orthopedic,broken elbow
Orthopedic,broken shoulder
Orthopedic,broken hip
Orthopedic,broken ankle
Orthopedic,difficulty in moving elbow
Orthopedic,unable to move elbow
Orthopedic,elbow joint pain
Rheumatologist,swelling in elbow
Rheumatologist,bulge in bicep
Rheumatologist,lump in uppar arm
Rheumatologist,lump in bicep
Orthopedic,broken chest bone
Orthopedic,broken chest bone
Orthopedic,broken rib
Orthopedic,ribs
Pulmonologist,lump in chest
Pulmonologist,bulge in chest
Pulmonologist,spasms in chest
Pulmonologist,pain in chest
Rheumatologist,swelling in chest
Rheumatologist,bulge in tricep
Rheumatologist,lump in tricep
Rheumatologist,torn triceps
Rheumatologist,torn biceps
,unusually round face
,bleeding face
,face is bleeding
Surgeon,broken face
,swollen face
,excessive hair on face
,lump on face
,bulge in the face
,injury marks on face
,marks on face
,muscular spasms in face
,numbness in face
,swelling in face
,unusual facial expression
,bleeding thigh
Orthopedic,broken thigh
Rheumatologist,lump in thigh
Rheumatologist,bulge in thigh
Rheumatologist,spasms in thigh
Rheumatologist,numbness in thigh
,pain in thigh
Rheumatologist,swelling in thigh
,weakness in thighs
,bleeding shin
,broken shin
,broken forerunner
,lump in shin
,lump in forerunner
,bulge in shin
,bulge in forerunner
,numbness in shin
,pain in shin
,pain in forerunner
,swelling in shin
,swelling in forerunner
,black skin on feet
,bleeding foot
,blue skin on foot
,difficulty walking
,numbness in feet
skin,acne
skin,tinea
skin,eczema
skin,psoriasis
skin,black spots on face
skin,urticaria
skin,scabies
psychiatrist,lack of sleep
psychiatrist,restless
psychiatrist,perspiration
psychiatrist,fear
psychiatrist,phobia
psychiatrist,repeated thoughts of checking
psychiatrist,spitting
psychiatrist,shak
pyschiatrist,waham
psychiatrist,violent
psychiatrist,aggressive
psychiatrist,big talks
psychiatrist,fluctuations of mood
psychiatrist,hyperactive
psychiatrist,lack of self care
sexology,sex weakness
sexology,erection disorder
sexology,premature ejaculation
sexology,vaginismus
sexology,fear of sex
sexology,pain in sex
psychiatrist,stress
psychiatrist,anxiety
psychiatrist,depression
psychiatrist,adjustment problem
psychiatrist,mentally retarded child
psychiatrist,adhd child
diebetologist/general physician,fever
diebetologist/general physician,urine infection
diebetologist/general physician,cough cold
diebetologist/general physician,gastritis
diebetologist/general physician,piles
diebetologist/general physician,disc 
diebetologist/general physician,prolapse
diebetologist/general physician,diabetes
diebetologist/general physician,hypertension
diebetologist/general physician,thyroid disorder
diebetologist/general physician,pcod
diebetologist/general physician,laryngitis
diebetologist/general physician,arthritis
diebetologist/general physician,scabies
diebetologist/general physician,acne
diebetologist/general physician,hair fall
diebetologist/general physician,insomnia
diebetologist/general physician,anemia
diebetologist/general physician,diarrhoea
diebetologist/general physician,pain abdomen
gynecologist,menstrual pain
gynecologist,menstrual irregularities
gynecologist,white discharge
gynecologist,vaginal/vulval infection
gynecologist,pregnency and delivery related issues
gynecologist,premenstrual problems
gynecologist,fibroids
gynecologist,ovarian cysts
gynecologist,menopausal issues
gynecologist,irritability
gynecologist,pcos
gynecologist,acne
gynecologist,hairfall
gynecologist,weight gain
gynecologist,infertility
gynecologist,wdpv
gynecologist,mtp
gynecologist,vaginal candidiasis
gynecologist,vaginitis
gynecologist,uti
gynecologist,missed period
gynecologist,emergency contraception
gynecologist,pregnancy quiery
gynecologist,periods quiery
general physician,cough
general physician,cold
general physician,fever
general physician,loose motion
general physician,constipation
general physician,hypertension
general physician,diabetes
general physician,bronchitis
general physician,copd
general physician,chest pain
general physician,abdominal pain
general physician,jaundice
gynecologist,missed periods
gynecologist,pregnancy bleeding
gynecologist,respiratory infection and pregnancy
gynecologist,gastroenteritis in preg
gynecologist,irregular cycles
gynecologist,delayed periods
gynecologist,heavy periods
gynecologist,painful periods
sexology,early ejaculation
sexology,delayed ejaculation
sexology,loss of erection
sexology,excessive masturbation
sexology,small size
sexology,lack of desire
sexology,tight foreskin
sexology,unprotected sex
sexology,homosexuality
sexology,sperm count
sexology,pearly penile papules
sexology,not getting pregnant
sexology,tight vagina
sexology,loose vagina
general physician,headache
general physician,bodyache
general physician,joint pains
general physician,muscular pain
general physician,breathlessness
general physician,burning micturition
general physician,vomiting
general physician,loose motions
general physician,flu
general physician,infections
general physician,earache
general physician,skin infections
general physician,stomach  ache
general physician,piles
general physician,fistula
general physician,legs cramp
general physician,backache
general physician,mellitus
general physician,hypothyroidism
general physician,hyperthyroidism
general physician,gastroenteritis
general physician,migraine
general physician,anaemia
general physician,vertigo
general physician,asthma
general physician,osteoarthritis
general physician,hiv risk
general physician,erectile dysfunction
general physician,burning urination
general physician,bleeding per rectum
general physician,weakness of limbs
general physician,easy fatiguability
general physician,pain abdomen
general physician,hemorrhoids
general physician,pruritus
general physician,urinary tract infection
general physician,height issues
ENT Specialist,Disordered Nose
ENT Specialist,Decrease in smell of smell
ENT Specialist,Breathing trouble
ENT Specialist,Nasal Breathing Difficulty
ENT Specialist,Drainage from nose
ENT Specialist,frequent infection of nose
ENT Specialist,itching of nose
ENT Specialist,burning of nose
ENT Specialist,lump in nose
ENT Specialist,bulgy nose
ENT Specialist,nasal congestion
ENT Specialist,noise while breathing
ENT Specialist,noser
ENT Specialist,pain in nose
ENT Specialist,restlessness of nose
ENT Specialist,tingling of nose
ENT Specialist,numbness of nose
ENT Specialist,sneezing
ENT Specialist,sneeze
ENT Specialist,snore
ENT Specialist,snoring
ENT Specialist,weird smell
ENT Specialist,weird taste
ENT Specialist,swelling of nose
ENT Specialist,bleeding of ear
ENT Specialist,pain in ear
ENT Specialist,deafness
ENT Specialist,deaf
ENT Specialist,burning of ears
ENT Specialist,lump in ear
ENT Specialist,eardrum
ENT Specialist,noise sensitive
ENT Specialist,swelling of ear
ENT Specialist,numbness of ear
ENT Specialist,numbness of ears
ENT Specialist,burning of ear
ENT Specialist,itching of ear
ENT Specialist,itching of ears
ENT Specialist,swelling of ears
ENT Specialist,bad breath
ENT Specialist,bad taste in mouth
ENT Specialist,dakar
ENT Specialist,bitter odour of breath
ENT Specialist,bad smell of breath
ENT Specialist,bleeding gums
ENT Specialist,disordered mouth
ENT Specialist,cough
ENT Specialist,loss of appetite
ENT Specialist,damage of tooth enamel
ENT Specialist,colourful spit
ENT Specialist,fluffy toungue
ENT Specialist,white spots on toungue
ENT Specialist,white spots inside mouth
ENT Specialist,flavor reduction
ENT Specialist,difficulty in swallowing
ENT Specialist,difficulty in talking
ENT Specialist,Drainage from mouth
ENT Specialist,dry mouth
ENT Specialist,excessive water in month
ENT Specialist,chewing continuously
ENT Specialist,torn toungue
ENT Specialist,grinding teeth
ENT Specialist,gum ache
ENT Specialist,bad voice
ENT Specialist,hoarse voice
ENT Specialist,speech enhancement
ENT Specialist,thirsty
ENT Specialist,increase in thirst
ENT Specialist,burning of mouth
ENT Specialist,itching of mouth
ENT Specialist,jaw block
ENT Specialist,odd voice
ENT Specialist,lump in mouth
ENT Specialist,lump on toungue
ENT Specialist,sore mouth
ENT Specialist,suppressed mouth
ENT Specialist,breathing noise
ENT Specialist,fast speech
ENT Specialist,speaking fast
ENT Specialist,speaking very fast
ENT Specialist,red toungue
ENT Specialist,red gum
ENT Specialist,red spots in mouth
ENT Specialist,shortness of breath
ENT Specialist,gibberish
ENT Specialist,smooth toungue
ENT Specialist,snoring
ENT Specialist,blisters in the toungue
ENT Specialist,burning in mouth
ENT Specialist,pain in mouth
ENT Specialist,throat spots
ENT Specialist,spots on tonsils
ENT Specialist,swollen gums
ENT Specialist,swollen mouth
ENT Specialist,swelling of gums
ENT Specialist,swelling of mouth
ENT Specialist,swollen lips
ENT Specialist,swelling of lips
ENT Specialist,swollen toungue
ENT Specialist,swollen tonsils
ENT Specialist,swelling of tonsils
ENT Specialist,acid flavour in mouth
ENT Specialist,do not meet the teeth properly
ENT Specialist,thick saliva
ENT Specialist,unable to open mouth
ENT Specialist,unable to open jaw
ENT Specialist,not able to open mouth
ENT Specialist,not able to open jaw
ENT Specialist,abnormal taste in mouth
ENT Specialist,increased glands
ENT Specialist,swollen glands
ENT Specialist,difficult to speak
ENT Specialist,difficulty in speaking
ENT Specialist,lump in neck
Rheumatologist,muscular pain in neck
ENT Specialist,sore throat
ENT Specialist,spots in throat
,small neck
,broad neck
ENT Specialist,bleeding of jaws
Orthopedics,broken bones of jaws
Orthopedics,broke bones of jaw
ENT Specialist,difficulty in opening the mouth
ENT Specialist,difficulty in opening mouth
Dermatologist,development of excessive hair on the face
ENT Specialist,lump in jaw
ENT Specialist,abnormal taste in mouth
ENT Specialist,fast speech
Psychiatrist,unrest
Psychiatrist,anxiety
Dermatologist,baldness
Dermatologist,baldness of some parts of the head
Dermatologist,bleeding of head
Dermatologist,brittle hair
Orthopedics,broken bones of head
Psychiatrist,disorder
Psychiatrist,coma
Psychiatrist,confusion
Psychiatrist,craving
Psychiatrist,craving for food
Psychiatrist,crawling sensation
Psychiatrist,delay in learning language skills
Psychiatrist,problem in learning language skills
Psychiatrist,delay in motor development
Psychiatrist,problem in motor development
Psychiatrist,depressed mood
Psychiatrist,difficult to wake up from sleep
Psychiatrist,problem in waking up from sleep
Psychiatrist,difficult to pay attention
Psychiatrist,difficulty in sleep
Psychiatrist,difficulty in finding the word
Psychiatrist,difficulty in finding word
Psychiatrist,wander
Psychiatrist,dizziness
Psychiatrist,dizzy
Psychiatrist,cry
Psychiatrist,to cry
Psychiatrist,emotions
Psychiatrist,unconsciousness
Psychiatrist,unconscious 
Psychiatrist,fatigue
Psychiatrist,fear of wind
Psychiatrist,fear of water
Psychiatrist,feeling walking on some skull
Psychiatrist,fever
Psychiatrist,angel tour
Psychiatrist,desire for food
Psychiatrist,intense desire for food
Psychiatrist,frightening dreams
Psychiatrist,scary dreams
Psychiatrist,frightening thoughts
Psychiatrist,scary thoughts
Dermatologist,hair fall
Psychiatrist,hallucination
Psychiatrist,head ache
Opthamologist,deteriorating ability to see colors with eyes
Psychiatrist,lack of social skills
Psychiatrist,decrease in social skills
Psychiatrist,inappropriate behavior
Psychiatrist,itching of scalp
Psychiatrist,burning of scalp
Psychiatrist,lack of sense
Psychiatrist,lack of happiness
Psychiatrist,memory problem
Psychiatrist,memory related problem
,lump in head
,lump in skull
Psychiatrist,numb head
Psychiatrist,numbness of head
Psychiatrist,personality change
Psychiatrist,repeating the words
Psychiatrist,repeating the phrases
Psychiatrist,repeating same thing
Psychiatrist,repeting the same thing
Psychiatrist,sleep disturbance
Psychiatrist,sadness
Dermatologist,skin irritation of scalp
Dermatologist,revolving sensation
Dermatologist,swelling of scalp
Dermatologist,swollen of scalp
Psychiatrist,abnormal behavior
Dermatologist,visible insects on scalp
Dermatologist,visible parasites on scalp
ENT Specialist,white spots inside mouth
Dermatologist,white spots on the scalp
Dermatologist,white hair
,bleeding of hips
Orthopedics,broken bone of hip
Orthopedics,broken bones of hip
Orthopedics,disordered hip
Rheumatologist,difficulty in climbing stairs
Rheumatologist,difficulty in getting up from chair
Rheumatologist,difficulty in running
Rheumatologist,joint pain in hip
,lump in hip
,numbness of hip
Rheumatologist,swelling of hip
Rheumatologist,swelling of hips
Rheumatologist,unable to bear load
Rheumatologist,joints are unable to move
Dermatologist,black skin of finger
Dermatologist,black skin of fingers
,bleeding of fingers
Dermatologist,blue skin of finger
Dermatologist,blue skin of fingers
Orthopedics,broken bone of finger
Orthopedics,broken bones of fingers
Orthopedics,broken bones of fingers
Orthopedics,disordered finger
Dermatologist,cold hands
Dermatologist,color change of fingers
,unable to move fingers
,lump in finger
Rheumatologist,muscular pain in fingers
,numbness of fingers
,restlessness of fingers
Dermatologist,red spots on nails
Dermatologist,black spots on nails
,trembling hands
Rheumatologist,decrease in stiffness of fingers
,swelling of fingers
,short fourth finger
Rheumatologist,twisted nails
Rheumatologist,weak fingers
,bleeding of palms
Dermatologist,blue skin of palms
Orthopedics,broken bone of palm
Orthopedics,broken bones of palms
Orthopedics,disordered palm
Dermatologist,color change of palms
Dermatologist,excessive sweating of palms
,lump in palm
Orthopedics,painful palms
,numbness of palms
,wrinkle in a single palm
,swelling of palms
Rheumatologist,weakness of palms
,bleeding of wrists
Orthopedics,broken bone of wrist
Orthopedics,disordered wrists
Rheumatologist,joint pain in wrists
Orthopedics,disordered wrist
,lump in wrist
,numbness of wrist
,numb wrist
Rheumatologist,decrease in stiffness of wrist
,swelling of wrist
,swelling of wrists
,weakness in wrists
Orthopedics,weak wrists
,bleeding of arms
Orthopedics,broken bones of arm
Orthopedics,broken bones of arms
Orthopedics,disordered arm
,lump in arm
,numbness of arms
Rheumatologist,pain in arms
,swelling in arms
Rheumatologist,inability to move hands
Orthopedics,weakness in hands
Rheumatologist,weak hands
,bleeding of sternum
,broken bone of sternum
,broken bone of sternum
,disordered sternum
,cough
,stagnation of food while swallowing
,chest burn
,irregular heart beat
,lump in sternum
,pain in chest
,chest pain
,numb chest
,pain on swallowing
,fast pulsation
,chest flapping
,feeling of pressure or heaviness
,swelling of sternum
,swollen sternum
,bleeding of thighs
,broken bones of sternum
,broken bone of sternum
,disordered thigh
,lump in thigh
,pain in thigh
,numb thigh
,swelling in thighs
,swollen thighs
,decrease in stiffness of thighs
,unable to bear load
,anaphylaxis
,weak thighs
